Designator,Mid X,Mid Y,Rotation,Layer
BT1_2,144.88625,-68.73125,90.0,top
BT1,144.88625,-68.73125,270.0,bottom
BT2,144.887245,-68.731152,270.0,bottom
D1,31.6425,-51.65,270.0,top
D10,88.7925,-46.8875,90.0,top
D11,107.8425,-51.65,270.0,top
D12,126.8925,-51.65,90.0,top
D13,31.6425,-89.75,270.0,top
D14,50.64165,-85.02554,90.0,top
D15,69.7425,-70.7,270.0,top
D16,88.7925,-65.9375,90.0,top
D17,107.8425,-70.7,270.0,top
D18,126.84165,-70.73804,90.0,bottom
D19,88.7925,-89.75,90.0,top
D2,50.64165,-46.92554,90.0,top
D20,114.03,-94.875,255.0,top
D21,139.43,-88.075,150.0,top
D3,69.69165,-32.63804,270.0,top
D4,88.7925,-27.8375,90.0,top
D5,107.8425,-32.6,270.0,top
D6,126.8925,-32.6,90.0,top
D7,31.6425,-70.7,270.0,bottom
D8,50.6925,-65.9375,90.0,top
D9,69.7425,-51.65,270.0,top
J2,150.48,-50.950001,270.0,top
MX1,23.4425,-47.26196,0.0,top
MX10,80.64335,-42.49946,0.0,top
MX11,99.69335,-47.26196,0.0,top
MX12,118.74335,-47.26196,0.0,top
MX13,23.494131,-85.362583,0.0,top
MX14,42.4925,-80.6375,0.0,top
MX15,61.59335,-66.31196,0.0,top
MX16,80.64335,-61.54946,0.0,top
MX17,99.69335,-66.31196,0.0,top
MX18,118.74335,-66.31196,0.0,top
MX19,80.64335,-85.36196,0.0,top
MX2,42.4925,-42.5375,0.0,top
MX20,107.186962,-88.429604,345.0,top
MX21,131.769801,-92.961629,60.0,top
MX3,61.5425,-28.25,0.0,top
MX4,80.64335,-23.44946,0.0,top
MX5,99.69335,-28.21196,0.0,top
MX6,118.74335,-28.21196,0.0,top
MX7,23.49335,-66.31196,0.0,top
MX8,42.54335,-61.54946,0.0,top
MX9,61.59335,-47.26196,0.0,top
U3,132.03,-58.28,270.0,top
